filename,IoU_OpenCV_vs_Expert,Dice_OpenCV_vs_Expert,Acc_OpenCV_vs_Expert,Cosine_OpenCV_vs_Expert,IoU_UNet_vs_Expert,Dice_UNet_vs_Expert,Acc_UNet_vs_Expert,Cosine_UNet_vs_Expert
prod_2023-01-01T03-00-00.000Z,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
prod_2023-01-01T06-00-00.000Z,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
prod_2023-01-01T09-00-00.000Z,0.25384615384615383,0.4049079754601227,0.9962109375,0.4498234510602418,0.10476190476190476,0.1896551724137931,0.988984375,0.2799829290176791
prod_2023-01-01T12-00-00.000Z,0.43828715365239296,0.6094570928196147,0.9912890625,0.6277948523446789,0.34804753820033957,0.5163727959697733,0.985,0.5793434317453615
prod_2023-01-01T15-00-00.000Z,0.023529411764705882,0.04597701149425287,0.9967578125,0.10976425998969035,0.0,0.0,0.98,0.0
prod_2023-01-01T18-00-00.000Z,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
prod_2023-01-01T21-00-00.000Z,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
prod_2023-01-02T03-00-00.000Z,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
prod_2023-01-02T06-00-00.000Z,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
prod_2023-01-02T09-00-00.000Z,0.3333333333333333,0.5,0.9934375,0.5393598899705936,0.17248459958932238,0.29422066549912435,0.9842578125,0.3797446623504944
prod_2023-01-02T12-00-00.000Z,0.4972375690607735,0.6642066420664207,0.992890625,0.6927587472088248,0.253077975376197,0.4039301310043668,0.978671875,0.49431326460452507
prod_2023-01-02T15-00-00.000Z,0.526595744680851,0.6898954703832753,0.9965234375,0.7029236326898033,0.2664576802507837,0.4207920792079208,0.990859375,0.4650436163781841
prod_2023-01-02T18-00-00.000Z,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
prod_2023-01-02T21-00-00.000Z,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
prod_2023-01-03T03-00-00.000Z,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
prod_2023-01-03T06-00-00.000Z,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
prod_2023-01-03T09-00-00.000Z,0.5172413793103449,0.6818181818181818,0.999453125,0.6933752452815365,0.0,0.0,0.999296875,0.0
